run_id,cancer,rank_in_run,feature_name_display,feature_name_internal,pathway,main_effect,abs_main_effect,effect_sign
29,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
29,CRC,23,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.001,0.001,negative
29,CRC,25,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.004,0.004,negative
29,CRC,26,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.005,0.005,negative
30,CRC,1,All_Pathway_Alteration_Count,PW_HIT_COUNT,,0.0228,0.0228,positive
30,CRC,2,WNT_zsum,PW_WNT_zsum,WNT,0.014,0.014,positive
30,CRC,4,Chromatin_mut_rate,PW_Chromatin_mut_rate_z,Chromatin,0.008,0.008,positive
30,CRC,5,TGF_Beta_any_rate,PW_TGF_Beta_any_rate_z,TGF_Beta,0.008,0.008,positive
30,CRC,6,TGF_Beta_zsum,PW_TGF_Beta_zsum,TGF_Beta,0.007,0.007,positive
30,CRC,7,MYC_amp_hit,PW_MYC_amp_hit,MYC,0.006,0.006,positive
30,CRC,8,DDR_zsum,PW_DDR_zsum,DDR,0.006,0.006,positive
30,CRC,9,RTK_RAS_any_rate,PW_RTK_RAS_any_rate_z,RTK_RAS,0.006,0.006,positive
30,CRC,12,Chromatin_any_rate,PW_Chromatin_any_rate_z,Chromatin,0.002,0.002,positive
30,CRC,13,TP53_del_hit,PW_TP53_del_hit,TP53,0.002,0.002,positive
30,CRC,14,MYC_del_hit,PW_MYC_del_hit,MYC,0.002,0.002,positive
30,CRC,15,PI3K_any_rate,PW_PI3K_any_rate_z,PI3K,0.002,0.002,positive
30,CRC,16,MYC_mut_rate,PW_MYC_mut_rate_z,MYC,0.001,0.001,positive
30,CRC,17,Chromatin_amp_hit,PW_Chromatin_amp_hit,Chromatin,0.0,0.0,zero
30,CRC,18,WNT_amp_hit,PW_WNT_amp_hit,WNT,0.0,0.0,zero
30,CRC,21,PI3K_zsum,PW_PI3K_zsum,PI3K,-0.001,0.001,negative
30,CRC,23,TGF_Beta_amp_hit,PW_TGF_Beta_amp_hit,TGF_Beta,-0.001,0.001,negative
30,CRC,25,DDR_sv_hit,PW_DDR_sv_hit,DDR,-0.004,0.004,negative
30,CRC,26,MYC_sv_hit,PW_MYC_sv_hit,MYC,-0.005,0.005,negative
